9,275,-1
477,497,-1
469,239,1
303,196,1
173,137,1
117,459,-1
177,247,1
139,104,1
55,332,-1
251,390,-1
98,85,1
251,224,1
78,288,-1
217,72,1
343,48,1
467,167,1
366,104,1
412,45,1
278,380,-1
380,51,1
88,399,-1
361,257,-1
318,442,-1
20,255,-1
80,126,1
92,47,1
138,134,1
267,37,1
17,459,-1
293,180,1
226,183,1
154,32,1
21,221,1
72,52,1
108,10,1
64,279,-1
323,352,-1
210,364,-1
488,296,-1
278,443,-1
366,161,1
53,302,-1
54,485,-1
240,199,1
398,43,1
267,21,1
195,371,-1
431,258,-1
394,360,-1
202,213,1
494,216,1
346,404,-1
197,27,1
25,264,-1
330,332,-1
281,241,1
202,467,-1
94,89,1
186,391,-1
141,15,1
36,210,1
69,431,-1
368,308,-1
35,301,-1
104,345,-1
450,251,-1
342,401,-1
180,291,-1
242,88,1
349,428,-1
154,143,1
482,83,1
474,28,1
135,282,-1
341,194,1
131,6,1
490,441,-1
136,313,-1
448,358,-1
161,346,-1
282,309,-1
201,399,-1
333,447,-1
9,297,-1
426,47,1
379,181,1
340,475,-1
476,230,1
30,229,1
483,416,-1
50,491,-1
213,351,-1
372,334,-1
452,166,1
49,6,1
230,449,-1
104,439,-1
71,137,1
434,35,1
343,486,-1
431,161,1
428,131,1
30,98,1
230,50,1
491,181,1
158,348,-1
358,3,1
76,162,1
185,214,1
450,82,1
260,123,1
228,328,-1
160,389,-1
344,425,-1
175,248,1
225,96,1
18,91,1
104,60,1
277,155,1
364,139,1
176,241,1
404,107,1
23,371,-1
22,5,1
320,115,1
69,434,-1
121,57,1
347,398,-1
41,497,-1
470,174,1
284,426,-1
215,369,-1
122,49,1
335,421,-1
2,237,1
392,114,1
30,268,-1
256,5,1
293,4,1
494,415,-1
176,436,-1
375,19,1
45,200,1
454,420,-1
117,480,-1
422,116,1
253,93,1
432,287,-1
441,483,-1
26,201,1
318,343,-1
429,186,1
366,234,1
20,134,1
36,22,1
381,109,1
337,149,1
284,395,-1
21,14,1
17,403,-1
407,118,1
484,108,1
378,448,-1
1,405,-1
46,182,1
1,160,1
498,32,1
255,409,-1
436,245,1
205,269,-1
355,479,-1
312,317,-1
55,311,-1
457,161,1
254,446,-1
159,483,-1
17,42,1
485,469,-1
448,219,1
311,460,-1
305,171,1
468,407,-1
408,454,-1
320,9,1
392,341,-1
232,311,-1
242,28,1
268,255,-1
87,309,-1
236,42,1
412,339,-1
395,177,1
295,213,1
451,75,1
297,313,-1
173,415,-1
95,255,-1
240,411,-1
245,43,1
341,268,-1
429,376,-1
116,32,1
187,124,1
251,429,-1
199,343,-1
221,50,1
62,224,1
74,451,-1
343,97,1
303,109,1
171,381,-1
320,318,-1
2,79,1
401,217,1
488,59,1
142,34,1
16,230,1
318,22,1
497,241,1
84,494,-1
155,247,1
379,410,-1
385,276,-1
82,185,1
123,337,-1
452,474,-1
489,477,-1
392,75,1
327,74,1
395,267,-1
99,133,1
284,359,-1
250,238,1
387,58,1
375,433,-1
4,31,1
259,237,1
311,259,-1
80,326,-1
197,478,-1
166,399,-1
69,342,-1
157,141,1
255,121,1
217,453,-1
267,355,-1
455,455,-1
477,436,-1
241,292,-1
386,422,-1
323,436,-1
66,456,-1
227,410,-1
156,380,-1
2,436,-1
491,106,1
217,494,-1
129,109,1
476,258,-1
288,416,-1
298,374,-1
372,81,1
291,20,1
212,28,1
86,235,1
465,69,1
338,74,1
304,82,1
96,128,1
469,201,1
310,225,1
60,284,-1
287,50,1
7,407,-1
379,229,1
466,312,-1
411,380,-1
398,418,-1
483,130,1
458,424,-1
48,471,-1
228,390,-1
180,273,-1
311,50,1
420,350,-1
135,487,-1
320,482,-1
437,484,-1
334,211,1
326,390,-1
492,222,1
187,331,-1
98,76,1
1,226,1
374,450,-1
497,252,-1
408,225,1
477,467,-1
52,143,1
135,411,-1
